iter	Passed	Remaining
807	11745	20235
808	11761	20223
809	11776	20209
810	11792	20196
811	11807	20184
812	11820	20166
813	11835	20152
814	11850	20139
815	11867	20128
816	11883	20115
817	11897	20100
818	11912	20087
819	11926	20070
820	11943	20061
821	11958	20047
822	11973	20033
823	11986	20017
824	12002	20003
825	12016	19988
826	12030	19973
827	12046	19961
828	12060	19946
829	12075	19932
830	12091	19920
831	12107	19908
832	12123	19895
833	12139	19882
834	12154	19868
835	12165	19848
836	12180	19834
837	12195	19821
838	12212	19810
839	12228	19798
840	12242	19783
841	12256	19767
842	12271	19754
843	12288	19743
844	12302	19728
845	12317	19713
846	12334	19703
847	12349	19690
848	12365	19677
849	12381	19665
850	12392	19645
851	12407	19630
852	12422	19616
853	12437	19602
854	12451	19588
855	12467	19575
856	12480	19557
857	12492	19539
858	12506	19524
859	12521	19510
860	12535	19494
861	12551	19482
862	12564	19464
863	12578	19449
864	12594	19437
865	12609	19423
866	12625	19411
867	12640	19397
868	12653	19380
869	12667	19365
870	12685	19356
871	12698	19339
872	12712	19324
873	12728	19310
874	12742	19295
875	12759	19284
876	12774	19271
877	12790	19258
878	12804	19243
879	12821	19232
880	12837	19219
881	12849	19201
882	12865	19188
883	12878	19172
884	12894	19159
885	12906	19141
886	12922	19128
887	12938	19115
888	12953	19101
889	12968	19088
890	12984	19075
891	12998	19060
892	13011	19044
893	13026	19029
894	13041	19015
895	13054	18998
896	13067	18982
897	13083	18970
898	13098	18956
899	13116	18946
900	13133	18935
901	13147	18919
902	13160	18902
903	13174	18886
904	13190	18874
905	13205	18860
906	13219	18845
907	13230	18825
908	13246	18812
909	13261	18799
910	13274	18782
911	13291	18770
912	13306	18757
913	13321	18742
914	13336	18729
915	13352	18716
916	13368	18703
917	13385	18692
918	13397	18675
919	13412	18660
920	13428	18648
921	13445	18637
922	13461	18624
923	13473	18606
924	13488	18591
925	13500	18574
926	13514	18559
927	13529	18545
928	13545	18531
929	13562	18520
930	13576	18505
931	13590	18490
932	13608	18480
933	13620	18462
934	13634	18446
935	13648	18430
936	13662	18415
937	13678	18403
938	13691	18387
939	13707	18373
940	13723	18361
941	13738	18347
942	13754	18334
943	13769	18320
944	13785	18307
945	13797	18290
946	13812	18275
947	13826	18260
948	13841	18246
949	13857	18233
950	13868	18214
951	13885	18202
952	13901	18190
953	13912	18170
954	13926	18154
955	13941	18141
956	13955	18126
957	13970	18111
958	13982	18093
959	13994	18075
960	14009	18061
961	14023	18046
962	14038	18032
963	14053	18018
964	14066	18002
965	14078	17984
966	14092	17968
967	14105	17952
968	14117	17934
969	14134	17922
970	14148	17907
971	14166	17897
972	14181	17884
973	14195	17868
974	14212	17856
975	14226	17841
976	14243	17829
977	14257	17814
978	14272	17800
979	14290	17789
980	14303	17774
981	14321	17762
982	14337	17750
